,Input,Output
"
7570,Where can view the network of tunnels to the catacombs?,"	the official tour of the catacombs
"
7571,On what date did the battle begin?,"	18 August
"
7572,Who is the archaeologist that does not believe early humans were hunters?,"	Louis Binford
"
7573,Through what means does an adolescent develop a unique belief system?,"	interaction with social, familial, and cultural environments
"
7574,Critics based in what movement find fault in objective realism?,"	post-modern
"
7575,What is one benefit of using surface mount components?,"	simplify automated assembly
"
7576,How do regulatory regions act?,"	by binding to transcription factors
"
7577,What was the charity that Liszt and Chopin last performed for?,"	the Beethoven Memorial in Bonn
"
7578,What does the ILO stand for?,"	International Labour Organization
"
7579,Who accused Karim of spying?,"	Her family and retainers
"
7580,What hardware defect code plagued the 360?,"	""General Hardware Failure"" error
"
7581,What percentage of Houston's population is African-American?,"	25%
"
7582,Which state in the US is the only to have higher fuel prices than Alaska?,"	Hawaii
"
7583,Which natural disaster happened after English occupation of Lower Manhattan?,"	the Great Fire of New York
"
7584,What was the trade name of epinephrine?,"	Adrenalin
"
7585,When was the first fictionalized account of Chopin's life?,"	1901
"
7586,What are hall churches in German cathedrals known as?,"	Hallenkirchen
"
7587,Greek merchants ruled the trade industry in which century?,"	18th
"
7588,What was one of the primary reasons that the issue of affirmative action lost its momentum?,"	there were other areas that needed focus
"
7589,MP3Gain is important because it allows players without what capability to have adjusted playback?,"	ReplayGain capability
"
7590,In what century did the Pan-Germanisms origins begin?,"	19th
"
7591,When did the drive for statehood falter?,"	1985
"
7592,Who was the founder of Hasidic Judaism?,"	The Baal Shem Tov
"
7593,What type of trace is often narrower than a ground trace?,"	signal
"
7594,How many incidents of violent crime were there in 2010?,"	1,740
"
7595,Buddhism's spread led to what large-scale effort?,"	translation
"
7596,What type of weather can one expect to experience in San Diego in the winter?,"	mild
"
7597,Some treaties contains provisions for what to happen if certain defined conditions are met?,"	self-termination
"
7598,What empire dominated in the south of India in the 13th century?,"	Vijayanagar Empire
"
7599,What famous form of wrestling is native to Mexico?,"	Lucha libre
"
7600,What is the name of the standard Hokkien pronunciation and romanization guide?,"	Tai-lo
"
7601,How many passengers used the Zurich airport in 2012?,"	22.8 million
"
7602,"As of 2000, how many people lived in Taguatinga?","	243,575
"
7603,When did Judea become an allied kingdom to Rome?,"	63 BC
"
7604,What formed behind the blocked rivers?,"	quake lakes
"
7605,When is Carnival celebrated? ,"	before Lent
"
7606,In what year were the two southern Italian kingdoms re-united?,"	1442
"
7607,"Where will God resurrected the ""other sheep"" after Armageddon?","	a cleansed earth
"
7608,Who originally developed the ski-jump ramp?,"	the Royal Navy
"
7609,What ceremony had Paul VI left in place in in the 1975 apostolic constitution?,"	Papal Coronation
"
7610,"When did the ""P"" sound of Pretannia change to the ""B"" sound of Britannia?","	during the time of Julius Caesar
"
7611,Who besides African Americans were victims of Tennessee's late-19th century electoral reform?,"	poor Whites
"
7612,Where does the Pindus mountain range end?,"	the island of Crete
"
7613,What dance championships have been held at BYU for several years?,"	NDCA National DanceSport
"
7614,"What started on October 11, 1911?","	Xinhai Revolution
"
7615,Who was to blame for communism and capitalism?,"	ethnic Jews
"
7616,What percentage of polled Americans opposed the death penalty in 1966?,"	47
"
7617,What is the number of missing persons?,"	18,498
"
7618,Jesuits claim how many nails were used?,"	three nails
"
7619,Where does the mandolin built by Giuseppe Vinaccia reside?,"	University of Edinburgh
"
7620,Where is the exiled Tibetan government?,"	India
"
7621,What month did Bell go to Boston?,"	April
"
7622,Which other country had control over Alsace?,"	France
"
7623,What did Broca discover in the human brain?,"	speech center
"
7624,Who did Edward Schnell work for?,"	the Aizu domain
"
7625,When was the Marais-quarter Agoudas Hakehilos Synagogue built?,"	1913
"
7626,Is a lectio brevrio or lectio difficilior approach more akin to the original text?,"	Applying this principle leads to taking the more difficult (unharmonized) reading as being more likely to be the original.
"
7627,What band's debut was titled Shake Your Money Maker?,"	The Black Crowes
"
7628,What was the charity event that occurred this season?,"	Idol Gives Back
"
7629,When did she receive the Legend Award?,"	2008 World Music Awards
"
7630,The Libyan conflict was primarily fought between which groups?,"	Gaddafi's loyalists and Libyan rebels fighting to depose him
"
7631,Which former Editor of the Daily Telegraph attended Eton?,"	Charles Moore
"
7632,What two countries did Victoria take a large interest in improving relations between?,"	France and Britain
"
7633,What happens to grain when it is soaked in water?,"	germination
"
7634,What Universal director was known for his melodramas?,"	Douglas Sirk
"
7635,Who discovered tyrothricin?,"	Rene Dubos
"
7636,"In 2003, what percentage of travellers used public transport?","	7.6%
"
7637,How does heartwood formation occur due to its being genetically programmed?,"	spontaneously
"
7638,What does conservatism have in common with classical liberalism?,"	belief in the free market
"
7639,What principles of architecture was the Alvorada designed with?,"	simplicity and modernity
"
7640,When were the mosaics in the Great Mosque in Corduba created?,"	between 965 and 970
"
7641,These regions were occupied by who?,"	the brown men
"
7642,What two countries does Burma have Superior relationships with ?,"	India and China
"
7643,What do body hormone receptors do with the body's organs?,"	synchronise
"
7644, Nicholas Vincent was described as what?,"	downright mean
"
7645,In what type of decorative blind arcading are pointed arches common?,"	Romanesque
"
7646,What percentage of the population fell below the poverty line in San Diego in 2005?,"	14.6%
"
7647,What was the name of the foreign secretary that Victoria found offensive?,"	Lord Palmerston
"
7648,What is Shell's primary business?,"	the management of a vertically integrated oil company
"
7649,What caused the Romans to conform several educational concepts to their own system?,"	various military conquests in the Greek East
"
7650,When did Barry Weiss become head of Jive Records?,"	1991
"
7651,Under what name were those lectures later published?,"	Process and Reality
"
7652,"Along with West Hoe and Radford, where was Middle Devonian limestone quarried in the region?","	Cattedown
"
7653,What stopped the widespread use of hunting and gathering?,"	invention of agriculture
"
7654,What will you be matching with the  receiving antenna's polarization?,"	transmitter
"
7655,What is the purpose of the geostationary orbit satellites in the BeiDou-2 system?,"	for backward compatibility with BeiDou-1
"
7656,Which report described this corruption? ,"	the 2006 World Bank Report
"
7657,What type of language did Paul VI want to the church to relay dogma in?,"	simple
"
7658,Which two areas were connected by the Port Authority Passenger Terminal?,"	Hart Plaza to the Renaissance Center
"
7659,What was the median age of non-Hispanic whites in 2008?,"	41.6
"
7660,Who declared war on Mexico in 1846?,"	The United States
"
7661,What landmass was still unbroken in the Early Triassic?,"	Pangaea
"
7662,Where can you find enzymes with a zinc atom in the reactive center?,"	biochemistry,
"
7663,"In general, what does immunology study?","	immune systems in all organisms
"
7664,Popper's model of evolution is part of what family of models?,"	genetic pluralism
"
7665,Where was the Galilean village?,"	Nazareth
"
7666,Who owned the Detroit Drive in this period?,"	Mike Ilitch
"
7667,What year did the Spanish conquer Antwerp?,"	1585
"
7668,What has the process of devolution in the UK did?,"	decentralised power once again
"
7669,Which wood has lignin that comes primarily from one type of alcohol?,"	Softwood
"
7670,What does Muthappan use for his hunting dog for?,"	mount
"
7671,What movement occurred during the 1970s?,"	Deep Ecology
"
7672,What was the new monthly minimum wage in Sichuan by January 2008?,"	450 yuan
"
7673,What is still being used according to experts?,"	Hanja
"
7674,What was the main reason for the latest schism?,"	whether the PCK should join the WCC
"
7675,Who conquered Switzerland in 1798?,"	the revolutionary French government
"
7676,What was the name of the first satellite launched for the system?,"	BeiDou-1A
"
7677,What foundation of study allowed for the accomplishment of the goal of a scholarly people?,"	humanities
"
7678,What does mulatto mean?,"	visible European ancestry in addition to African
"
7679,Which form of education looks to be the dominant form i the coming years?,"	Open education
"
7680,When was the Bronx created?,"	1874
"
7681,"Though the contest is staged, what can garner more interest from the crowd? ","	dramatic emphasis
"
7682,How long does it take for sediment to settle and clear after a cask ale has been tapped?,"	from several hours to several days
"
7683,What kind of audio is required to use a bit reservoir?,"	Layer III
"
7684,When was the Askeran clash?,"	February 22, 1988
"
7685,What is the name of Miami's heavy-rail system?,"	Metrorail
"
7686,What is the program that allows season employees work permits?,"	Australian Pacific Seasonal Worker Program
"
7687,What leader had both prominent German and Hun families in his entourage throughout Europe? ,"	Attila
"
7688,"Along with Cat Power, what indie/folk musician is based in Miami?","	Iron & Wine
"
7689,What type of glowing species can be found on some beaches in Portugal?,"	plankton
"
7690,What undeciphered writings were found alongside the rock paintings?,"	Inscriptions
"
7691,What kind of camera was used to broadcast live shows under the Baird system?,"	Farnsworth image dissector
"
7692,What were the pillboxes and bunkers connected by?,"	underground tunnels
"
7693,Who developed the ISA?,"	Weinreich
"
7694,What influences did the Sumerian language seem to retain?,"	earlier inhabitants
"
7695,From what is Sanskrit an adaption?,"	Old Indo-Aryan
"
7696,How long may it take for persistent pesticides to be broken down?,"	months or years
"
7697,What does a video-conference use that allows communication in live situations?,"	a multipoint control unit
"
7698,How many undergrad students were in Oklahoma in 2007?,"	181,973
"
7699,What aspect of historical styles did a lot of architects find lacking in modernist styles?,"	decorative richness
"
7700,What did turkey red get its color from?,"	madder
"
7701,What did Kant say was similar notion to time?,"	space
"
7702,What did the mysteries seem to threaten that made the Romans occasionally attempt to ban them?,"	morality and unity
"
7703,Which movie previously had the highest earnings for its first seven days?,"	Harry Potter and the Prisoner of Azkaban
"
7704,What was reportedly the high value of of loot that the Ganj-i-Sawai had?,"	£600,000
"
7705,What style of Gisbon Mandolin was largely replicated?,"	Gibson F-5
"
7706,What did the Chinese get paid for their goods?,"	silver
"
7707,On what point did Dobzhansky agree with Dr. Livingstone?,"	if races have to be 'discrete units,' then there are no races
"
7708,What was the government being accused of?,"	deftly manipulat(ing) Arab solidarity"" to carry out policies of apartheid and ethnic cleansing.
"
7709,What are some examples of phase change materials?,"	paraffin wax and Glauber's salt
"
7710,Where does cancellation of any reactance seen?,"	antenna terminals
"
7711,What is the basis of capitalization standards for the sentence-style capitalization?,"	sentences
"
7712,What year did Republicans regain control while Rober Michel was Minority Leader?,"	1994
"
7713,What period in history was anatomical  studies of nerves greatly increased?,"	the Renaissance
"
7714,In 2007 what percent of people were 12 and under?,"	48
"
7715,Where did the Ottoman Empire end?,"	the eastern border of Iraq
"
7716,The Jats assisted in building what state?,"	Rajasthan
"
7717,In what year did James II die?,"	1473
"
7718,When was ISO's first acceptance of an international recommendation?,"	1967
"
7719,Where was David Atherton born?,"	Blackpool
"
7720,For how long was Spanish the official language of Galicia?,"	more than four centuries
"
7721,what is the great plains?,"	broad expanse of flat land
"
7722,Which former director defended UNFPA?,"	Dr. Nafis Sadik
"
7723,How many acres of land does Gateway Nation Recreation contain?,"	over 26,000
"
7724,Who runs Saint Helena online?,"	a former print and BBC journalist
"
7725,What is the Indian term for Prime Minister?,"	Pradhan Mantri
"
7726,What part of the military did many people working for the BBC end up serving in?,"	the radar programme
"
7727,Who gave the EU translations of the European Constitution?,"	Spanish government
"
7728,What did the Greeks offer to the Ottoman Empire that was a superb benefit ? ,"	the Greek tradition of education and commerce
"
7729,What theory does Darwin discuss that is related to the importance of homologous structures?,"	morphology
"
7730,Who introduced the lute to Spain?,"	the Moors
"
7731,"How would you tell a West Flemish speaker ""yes""?","	ja
"
7732,What was Whitehead's first published book on mathematics?,"	A Treatise on Universal Algebra
"
7733,What Congressional Act fully re-enfranchised African-American in Tennessee?,"	Voting Rights Act of 1965
"
7734,In what year was John Locke born?,"	1632
"
7735,How much did estimated tax breaks save per student in 1992?,"	£1,945 per pupil per year
"
7736,Why is marketing harder for NPOs?,"	taboo word that NPOs or others don't like to associate with such community benefit organizations
"
7737,Which thriller film did Beyoncé star in with Ali Larter?,"	Obsessed.
"
7738,What was the first Namibian newspaper?,"	Windhoeker Anzeiger
"
7739,What depends on what religion is usual for the respective Slavic ethnic groups?,"	The alphabet
"
7740,What group did Southampton's Rob Skipper sing for?,"	Holloways
"
7741,Why don't Jehovah Witnesses celebrate the usual holidays and customs?,"	they consider to have pagan origins
"
7742,What type of antenna has impedance at a specific frequency?,"	resonant
"
7743,In what year did the Russians leave Wallachia and Moldavia?,"	1854
"
7744,How much coal is mine yearly in northeast Sinai?,"	600,000 tonnes
"
7745,How many possible codons are there?,"	There are 64 possible codons (four possible nucleotides at each of three positions, hence 43 possible codons)
"
7746,What ingredient makes glass colorful?,"	metallic salts
"
7747,What does a symphony orchestra have that is missing from a concert band?,"	a string section
"
7748,How is lacquer distrubted on a CD?,"	rapid spinning
"
7749,Where was the Eiffel Tower revealed?,"	1889 Universal Exposition
"
7750,What are challenged to an unpopular political party?,"	tremendous land area and large population of the country
"
7751,The coup leaders later became known as?,"	the People's Redemption Council
"
7752,"In computer terms, what does PC stand for?","	personal computers
"
7753,What does PLASA stand for? ,"	The Professional Lighting And Sound Association
"
7754,What actress claimed she also carried on an affair with Schwarzenegger while he was with Shriver?,"	Brigitte Nielsen
"
7755,What particle's migration does the resonance principle rely on?,"	electrons
"
7756,Where was the cause of the power outage?,"	Battersea Power Station
"
7757,What can be found on the Start screen?,"	displays programs and dynamically updated content on a grid of tiles
"
7758,What type of temples stretch from the north to the south of Rajasthan?,"	Jain Temples
"
7759,What University was Alision Jing Xu the assistant professor of management at?,"	University of Toronto Scarborough
"
7760,What must happen to a statute for it to become unconstitutional?,"	it must be deleted
"
7761,What British company was heavily involved in the defeat of the Nawab's forces?,"	East India Company
"
7762,Where was the message posted?,"	cyberctm.com
"
7763,What was under development in both the Soviet Union and Britain in the 1930s?,"	solid fuel rockets
"
7764,"In 1955, Richmond was hit with three hurricanes in how many weeks?","	six
"
7765,Truman wanted Eisenhower to run for the presidency as a member of what party?,"	Democratic
"
7766,"What musician joined Kanye West on the song ""Only One""?","	Paul McCartney
"
7767,What is thought to be the first fictionalized work about Chopin?,"	Chopin
"
7768,What is the tourist industry mostly based around?,"	the promotion of Napoleon's imprisonment
"
7769,Who did John marry Joan to?,"	Llywelyn the Great
"
7770,Who oversees the period of reckless behavior?,"	The King
"
7771,What year was the first game of the first world series played?,"	1903
"
7772,What is the rate of interreligious marriage in the United States?,"	just under 50%
"
7773,"What's the Dutch word for ""green""?","	groen
"
7774,What do archaeological records clearly show about the Sumerian culture?,"	uninterrupted cultural continuity
"
7775,What led to Swazi budget cuts?,"	declining revenues and increased spending
"
7776,What countries have expressed interest in Greece's oil and gas exploration?,"	Norway and the United States
"
7777,Who now headed the civil and military authorities?,"	J. A. Pescador and Simón Ochoa
"
7778,How many of BYU's students are native Utah residents?,"	one-third
"
7779,What is the term for earlier portions of the Quran that may have been superseded by later parts?,"	mansūkh
"
7780,What controlled the traction?,"	a motor mechanic utilizing a system of toothed wheels
"
7781,Which country refused to accept?,"	France
"
7782,What are some differences between House and Disco music?,"	it was more electronic and minimalistic
"
7783,What did Adam Smith's work cover?,"	The basis for classical economics
"
7784,What is stare decisis?,"	the act of deciding a case becomes a limited form of lawmaking in itself
"
7785,Which airport is the second busiest in Australia?,"	Melbourne Airport (also called Tullamarine Airport)
"
7786,How long was Sanskrit a language of culture?,"	2000 years
"
7787,What did Chadwick say police should be focused on?,"	prevention
"
7788,Where were the empire's law schools?,"	in Istanbul and Bursa.
"
7789,What percentage of high-density penetrators is not made up of depleted uranium?,"	1–2%
"
7790,Which two groups were divided inn the territories of the East Slavs?,"	Varangians and the Khazars
"
7791,What are the most popular sports in Eritrea?,"	Football and cycling
"
7792,Coupled with British quick reactions what cause operational capacity hard to achieve?,"	limitations in weapons technology
"
7793,In what year was this genome sequenced?,"	2000
"
7794,Queen's Spike Edney plays what instrument?,"	keyboardist
"
7795,What does classical music convey in movies and television?,"	refinement or opulence
"
7796,What did David Ehrenstein call Obama in 2008?,"	""Magic Negro"",
"
7797,When was Jones removed from the show?,"	March 14
"
7798,When did the UN Security Council recommend that the Marshall Islands be allowed to join the UN?,"	August 9, 1991
"
7799,Who was the founder of the New York Post?,"	Alexander Hamilton
"
7800,Menander converted to what religion?,"	Buddhism
"
7801,How many years was Parral an important economic and cultural center?,"	300 years
"
7802,Burroughs-Wellcome is now part of what medical company?,"	Glaxo Smith Kline
"
7803,From what basis do political anthropologists examine the structure of political systems?,"	structure of societies
"
7804,When was the first documented translation efforts by foreign Buddhist monks in China?,"	2nd century CE
"
7805,In what century did the term Enlightenment emerge in English?,"	19th
"
7806,Nehru was a leader of what country?,"	Indian
"
7807,How many groups of Estonian dialects are there?,"	two
"
7808,What does prayer usually include in Islam?,"	forgiveness
"
7809,What kind of groups are on Saint Helena and Ascension Island?,"	scouting and guiding
"
7810,What causes diarrhea?,"	disruption of the species composition in the intestinal flora
"
7811,What political forms did Popper believe historicism supported?,"	authoritarianism and totalitarianism
"
7812,"Contrary to the 16th and 18th centuries, what caused migrations in the 20th century?","	urbanization and wars
"
7813,"Why did James T. Costa think the larger, abandoned book would not have been as successful?","	would have been encumbered by scholarly footnotes and much more technical detail
"
7814,Epping Forest is home for how many species of bats?,"	Ten
"
7815,Who opened the first Lodge in Iraq?,"	the United Grand Lodge of England
"
7816,How much of the Gordie Howe International Bridge is Canada going to pay for?,"	95 per cent
"
7817,What was Tip O'Neill's job?,"	House Speaker
"
7818,What are someplaces that you could study drama and therter in Cork?,"	Cork Academy of Dramatic Art (CADA) and Graffiti Theatre Company
"
7819,Where is the Art Deco style badge design used prominently?,"	Highbury Stadium
"
7820,What can make classification of predators problematic when using a food pyramid?,"	Many organisms (of which humans are prime examples) eat from multiple levels of the food chain
"
7821,In which century did the process become much cheaper than before?,"	19th
"
7822,How many points did the National Conference score in the first All-Star Game?,"	64
"
7823,What is the aim of Unicode?,"	transcending the limitations of traditional character encodings
"
7824,The parent company of Tidal became under the ownership of whom in 2015?,"	Jay Z
"
7825,How bad is the ozone in Mexico City?,"	2.5 times beyond WHO-defined safe limits
"
7826,What were some powerful Polish nobles referred too?,"	magnates
"
7827,Where was the dispersal attempt made?,"	in front of Druzhba Stadium
"
7828,How much of the Bronx is white (including Hispanic) as of 2009?,"	22.9%
"
7829,Which of the Great Lakes is entirely located in US territory?,"	Lake Michigan
"
7830,Which of Chopin's works shows more folk aspects?,"	mazurkas
"
7831,How much development space would a Concourse Yard platform provide?,"	2,000,000 square feet
"
7832,What systems did the Sumerians develop which remain the first known these types to this day?,"	legal and administrative
"
7833,Palermo is the home of what mafia?,"	the Sicilian Mafia
"
7834,What happened to ports on Cyprus after capture of its northern territory by Turkish troops?,"	all of its ports of entry in the north were closed
"
7835,When was South Korea's constitution created?,"	1948
"
7836, Napoleon's plan to divert the British involved a French Navy attack on what islands?,"	the West Indies.
"
7837,What year did the Football Association arrange The Laws of the Game?,"	1863
"
7838,What specifies the BOM?,"	UCS-2 and UTF-16
"
7839,Polyphony was common in the secular music of which French region?,"	Provençal
"
7840,What will the project named CASA 1000 do?,"	CASA 1000, will transmit 1000 MW of surplus electricity from Tajikistan to Pakistan with power transit through Afghanistan
"
7841,When did the population increases begin in Oklahoma city?,"	late 1990s
"
7842,What year were the Cambridge Rules first drawn up?,"	1848
"
7843,When did Pope Saint XXIII die?,"	3 June 1963
"
7844,Morningside Park interrupts which street?,"	120th Street
"
7845,In what year did Arsenal produce a remodeled crest that could be copyrighted?,"	2002
"
7846,"Who wrote the paper ""On Computable Numbers""?","	Alan Turing
"
7847,Which Bronx schools have been closed or made smaller?,"	John F. Kennedy, James Monroe, Taft, Theodore Roosevelt, Adlai Stevenson, Evander Childs, Christopher Columbus, Morris, Walton, and South Bronx High Schools
"
7848,Where is the Museo de Historia del Arte located?,"	the Palacio Municipal
"
7849,The area is viewed as what politically,"	The area is often seen as a merging point of the conservative northern portion of the state and the liberal southern portion
"
7850,In what year was Swaziland given self governance? ,"	1906
"
7851,What type of foreign policy has Estonia sought after getting their independence?,"	close co-operation
"
7852,Which contestant was removed from the competition for not revealing his police record?,"	Corey Clark
"
7853,How are male chickens able to be identified ?,"	cocks, are usually larger, more boldly coloured, and have more exaggerated plumage than females (hens).
"
7854,What did Madonna give to Letterman to smell in his late night show that created an uproar?,"	a pair of her panties
"
7855,What forbid hunting in the woods with hounds and keeping hawks or falcons?,"	Corpus Juris Canonici
"
7856,What manufacturers was Dell losing to efficiency-wise?,"	Asian
"
7857,What year is considered the beginning of modern Greece?,"	1830
"
7858,What is the traditional use of the falekaupule?,"	decision making body
"
7859,How long did the English occupy Valencia?,"	16 months
"
7860,Who united the 5 tribes?,"	king Charlemagne
"
7861,"Before switching to its current publication schedule, how often was RVA Magazine published?","	monthly
"
7862,What concept is associated with the solvability of polynomials?,"	Abstract properties of Galois groups
"
7863,Designers' Way occurs on East 58th Street between Lexington and which other Avenue?,"	Second
"
7864,What was the name of Muawiyah's wife?,"	Maysum
"
7865,Along which river did they hunt bison?,"	Rio Grande
"
7866,Who asked her to change her mind about the soft drink deal due to the nature of the product?,"	The Center for Science in the Public Interest (CSPINET)
"
7867,What day is now a National holiday in connection to Moussa Traoré?,"	26 March
"
7868,"What percentage of the population was ""Black Caribbean""?","	1%
"
7869,What in particular does the group feels is impossible to believe ?,"	because they see it as too closely connected with a particular interpretation of the doctrine of ancestral sin.
"
7870,Who wanted to develop a horse drawn tram system?,"	George Francis Train
"
7871,"Bactrian, Sogdian, and Saka are examples of what type of Iranian language?","	Eastern
"
7872,During what years was the Aztec Empire conquered?,"	1519-1521
"
7873,Who was the Tangs biggest rival?,"	Tibet
"
7874,Most rooftop antenna's are polarized in which direction?,"	horizontal
"
7875,Who is referred to as nobilitas?,"	hereditary szlachta
"
7876,Which Spielberg movie showed its main character was a Boy Scout?,"	Indiana Jones and the Last Crusade
"
7877,A contract can be given to someone who is not the best what?,"	bidder
"
7878,"What song was ranked third in a list of 200 ""best tracks"" since 2010?","	""Runaway""
"
7879,"In concert with global warming, what is Tuvalu's other envirnmental priority? ","	sea level rising
"
7880,What is the basis of a hunting an gathering economy?,"	gift economy
"
7881,What is the Drosophila gene the cause of?,"	sleep disorder FASPS
"
7882,Where is Cyprus located?,"	Eastern Mediterranean Sea
"
7883,Who first suggested the existence of discrete inheritable units?,"	Gregor Mendel (1822–1884)
"
7884,In what geographic part of Somalia are these rock paintings commonly found?,"	northern
"
7885,What groups were formed by moderate Southern Baptists?,"	the Alliance of Baptists in 1987 and the Cooperative Baptist Fellowship in 1991
"
7886,Muffling the sound of batter made what easier in the Underground Stations?,"	sleep
"
7887,Who is the Dean of the Olin Business School?,"	Mahendra R. Gupta
"
7888,What offers a refuge by providing guidelines for the alleviation of suffering?,"	Dharma
"
7889,What were the angiosperms up to by the late Cretaceous?,"	dominated environments
"
7890,Where is the home of the Materials Research Center?,"	Northwestern
"
7891,What offshoots of polychaetes are only segmented in the rear?,"	pogonophores
"
7892,About how many days a year does the temperature in Richmond go above 32 degrees Celsius?,"	43
"
7893,In 2011 what was Arsenal's estimated fan base?,"	113 million
"
7894,Who called American Idol a conniving multimedia monster?,"	Karla Peterson
"
7895,Which of Hayek's works does Samuelson cite as being incorrect regarding macroeconomics?,"	Prices and Production
"
7896,Who interviewed Kerry in Oct 2004 about his religion?,"	Christianity Today
"
7897,Whose favorite style is baroque?,"	Madonna
"
7898,What country allied with Prussia?,"	Prussia's alliance with Britain
"
7899,What distinction does one single edition of The Daily Mirror hold?,"	the only edition of the Daily Mirror to ever sell every single copy issued throughout the country
"
7900,What areas experience periodic flooding from rapid snowmelt and runoff?,"	The areas that are not arid and receive high precipitation
"
7901,"In the build-up to genocide, what have other authors focused on?","	structural conditions
"
7902,Is there a test to determine asthma in an individual?,"	There is currently no precise test
"
7903,What is the native language of Germans?,"	German
"
7904,"Who collaborated with Beyoncé on the single, Deja Vu?","	Jay Z
"
7905,What province in Pakistan does Rajasthan border on its north?,"	Punjab
"
7906,The conquest of the territory lasted nearly how long?,"	one century
"
7907,At what age did Von Neumann begin to study advance calculus?,"	15
"
7908,What language did Chopin's father teach?,"	French
"
7909,What are the different departments of a university called?,"	schools or faculties
"
7910,How many points did the Popular Revolution plan have?,"	5
"
7911,When did the Turkish Seljuk Sultanate of Rum reach its demise?,"	14th century
"
7912,How many chemical pulping processes are there?,"	three
"
7913,Which major time period were these suggested hairs from?,"	Jurassic
"
7914,What was the name of Victoria's final child?,"	Beatrice
"
7915,What new category was added in the 2009 Human Development Report?,"	very high human development
"
7916,What competition did he win a silver medal in?,"	fencing
"
7917,What do caged birds display that corresponds with migratory direction in nature?,"	preferential flight direction
"
7918,What increased in the 1980s?,"	public criticism
"
7919,What is the Glorious Twelfth in the UK?,"	open season for grouse
"
7920,With what sort of agencies does UNFPA work?,"	United Nations agencies
"
7921,What is the main reason that countries were excluded from the 2014 report?,"	lack of necessary data
"
7922,Greek was crowned the European champions in what event?,"	Euro 2004
"
7923,How many people lost jobs when Beyonce left the video game deal?,"	70 staff
"
7924,Mohammad Reza Pahlavi established what enormous supply route during World War 2?,"	the Persian Corridor
"
7925,What was the degree of Frédéric's association with political insurrection?,"	indirect
"
7926,What type of geologic activity occurred even after the formation of the ice sheets?,"	volcanic
"
7927,Currently how much of Egypt's population is connected to sanitary sewers?,"	99%
"
7928,How did non-standard gauge trains start to operate with high-voltage AC?,"	adopting the already proven RhB system.
"
7929,What is the capital of Tennessee?,"	Nashville
"
7930,"Even though few MP3 players can play it, LAME also offers which option?","	freeformat
"
7931,What is the name of the cultural revival associated with Charlemagne?,"	Carolingian Renaissance
"
7932,What type of instruments were prominent in soft rock? ,"	acoustic
"
7933,What was the Indian Rebellion of 1857 also called?,"	1857 War of Independence
"
7934,What year was Cyprus granted independence?,"	1960
"
7935,Who is often held as the model for all things holy and pure that is not Mary ?,"	Eve before the fall
"
7936,What research university is located in Midtown?,"	Wayne State University
"
7937,Who signed the decree suspending the Communist Party of the Russian SFSR?,"	Yeltsin
"
7938,What types of vehicles were the Fennica and Nordica?,"	multipurpose icebreakers
"
7939,Where location was the torch relay started in the city in Paris?,"	Eiffel Tower
"
7940,What was the name of the Marshall Islands ship seized by Iran?,"	MV Maersk Tigris
"
7941,Who coined the term pneumata psychikon?,"	The Roman physician Galen
"
7942,"Who was responsible for the art names ""His Entombment""?","	Caravaggio
"
7943,Where is Mexico City located?,"	Valley of Mexico
"
7944,The Tethys sea developed during what period of time? ,"	Jurassic Period
"
7945,When was South Tucson reincorporated?,"	1940
"
7946,How many nights did Beyoncé play at the resort?,"	four
"
7947,"What animal was found dead at the Highway in Wapping, near the Tower Bridge?","	otter
"
7948,What native people lived in the San Diego area before the Europeans arrived?,"	Kumeyaay
"
7949,What was used to determine the position of planets within the solar system?,"	the Antikythera mechanism
"
7950,Who arrived at the Marshall Islands in 1788?,"	Captain John Charles Marshall and Thomas Gilbert
"
7951,What distributor took over Marvel's titles in 1969?,"	Curtis Circulation Company
"
7952,How far away from the Virginia Center for Architecture is the Children's Museum of Richmond?,"	two blocks
"
7953,"Other than Florida, which other state got send error coins?","	Tennessee
"
7954,How much of Dell's revenue was its PC division?,"	half
"
7955,How many personnel does the Navy have?,"	10,700
"
7956,"What is the population goal of the ""Vision for Plymouth""?","	300,000
"
7957,What other area did the Portuguese regard as their special territory?,"	part of present South Senegal
"
7958,What is Madonna's second album?,"	Like a Virgin
"
7959,Wood might be used to construct what exterior component of a building?,"	cladding
"
7960,Who did Avicenna learn Indian arithmetic from?,"	ءMahmoud Massahi
"
7961,How many Jews live in Argentina?,"	180,000-300,000
"
7962,What is the street address of the Bureau of Fire Communications alarm office in Brooklyn?,"	11 Metrotech Center
"
7963,What is the most common group of languages spoken in Mediterranean Europe?,"	Romance languages
"
7964,What is sometimes written as a single character?,"	bodhisattva
"
7965,What is the male who is father of the pups called?,"	sire
"
7966,What is the section in the middle 35% of North Carolina called?,"	the Piedmont region
"
7967,How many people in Yemen have African lineage? ,"	average of 38%
"
7968,What benefits does this serve?,"	allows an elevator to be installed where a traditional elevator may not fit, and simplifies installation
"
7969,What did Ibn al-Nafis use to explain the events in Theologus Autodidactus?,"	scientific knowledge
"
7970,Sea breezes occur during what season?,"	late spring
"
7971,Which historian says this opinion is indefensible?,"	David Henige
"
7972,Comiskey Park was the home to what team?,"	Chicago White Sox
"
7973,What popularized the use of conventional hybridization to increase yield?,"	the Green Revolution
"
7974,What sort of arrangement did Charanjit Singh use on his 1982 album?,"	minimal arrangement
